,pinyin,MC (B&S),GSR,漢語大字典,廣韻,
屮,cao3,tshawX,1052a,21021.030,500.47,6
艸,cao3,tshawX,1052c,53172.010,302.32,6
慅,cao3,tshawX,1112e,42332.120,157.14 302.34,13
懆,cao3,tshawX,1134l,42361.020,302.33,6
漕,cao4,dzawH,1053e,31718.020,158.39 418.27,13
畟,ce4,tsik,0922a,42537.010,526.10 527.41,13
册,ce4,tsrheak,0845a,10099.080,,0
栅,ce4,tsrheak,0845g,21187.010,,0
筴,ce4,tsrheak,0846a,52972.110,514.30 541.25 543.25,20
策,ce4,tsrheak,0868l,52963.090,514.25,6
廁,ce4,tsrhiH,0906g,20893.030,357.47,6
惻,ce4,tsrhik,0906e,42327.120,526.09,6
測,ce4,tsrhik,0906f,31674.010,526.08,6
畟,ce4,tsrhik,0922a,42537.010,526.10 527.41,13
側,ce4,tsrik,0906c,10189.120,528.50,6
參,cen1,tsrhim,0647a,10387.230,220.18 220.41 221.23 224.13 442.17,34
岑,cen2,ngimX,0651t,10763.230,220.27,6
曾,ceng2,dzong,0884a,21521.030,201.21 201.35,13
層,ceng2,dzong,0884i,20981.030,201.34,6
㗬,cha1,trhae,0003f,10566.030,169.28,6
臿,cha1,tsrheap,0631a,53038.020,543.45,6
插,cha1,tsrheap,0631b,31918.050,543.44,6
扱,cha1,tsrheap,1254b,31831.080,543.48,6
荼,cha2,drae,0082x,53221.110,082.42 165.36 168.30,20
秅,cha2,drae,0780f,42591.090,168.34 368.11,13
茶,cha2,drae,,53207.020,168.33,6
槎,cha2,dzrae,0005h,21255.020,169.21 309.43,13
槎,cha2,dzraeX,0005h,21255.020,169.21 309.43,13
查,cha2,dzrea,,21181.070,093.37 169.20,13
察,cha2,tsrheat,0337j,20948.080,488.56,6
秅,cha2,tuH,0780f,42591.090,168.34 368.11,13
詫,cha4,trhaeH,0780h,63972.010,422.11,6
侘,cha4,trhaeH,0780i,10154.030,169.25 422.12,13
差,chai1,tsha,0005f,10413.040,048.23 093.45 095.19 167.42 383.56,34
差,chai1,tsrhae,0005f,10413.040,048.23 093.45 095.19 167.42 383.56,34
祡,chai2,dzrea,0358v,42396.070,093.31,6
柴,chai2,dzrea,0358x,21197.110,093.30,6
儕,chai2,dzreaj,0593z,10231.140,095.16,6
豺,chai2,dzreaj,0943t,63908.040,095.15,6
茝,chai3,tsyhiX,0960i,53214.170,250.42,6
蠆,chai4,trhaejH,0326a,42889.200,387.07,6
㺗,chan1,trhean,0147p,21368.090,130.16,6
覘,chan1,trhjem,0618g,63666.060,227.19 444.09,13
梴,chan1,trhjen,0203d,21201.020,138.28,6
裧,chan1,tsyhem,0617g,53100.060,226.39 332.41 444.14,20
幨,chan1,tsyhem,0619d,10756.070,226.37 444.12,13
襜,chan1,tsyhem,0619e,53118.080,226.38 444.13,13
廛,chan2,drjen,0204a,20902.010,139.01,6
躔,chan2,drjen,0204b,63748.060,138.42,6
纏,chan2,drjen,0204c,53467.030,138.40 412.12,13
漸,chan2,dzraem,0611f,31717.030,227.35 335.19,13
毚,chan2,dzraem,0612a,10361.100,230.34 230.56,13
讒,chan2,dzraem,0612d,64032.060,230.30 446.06,13
鑱,chan2,dzraem,0612e,64274.010,230.54 446.02,13
讒,chan2,dzraemH,0612d,64032.060,230.30 446.06,13
鑱,chan2,dzraemH,0612e,64274.010,230.54 446.02,13
毚,chan2,dzream,0612a,10361.100,230.34 230.56,13
欃,chan2,dzream,0612b,21321.110,230.37 446.04,13
讒,chan2,dzream,0612d,64032.060,230.30 446.06,13
孱,chan2,dzrean,0208a,21017.120,129.34 138.15 287.47,20
僝,chan2,dzreanX,0208c,10222.110,129.35 411.44,13
孱,chan2,dzrjen,0208a,21017.120,129.34 138.15 287.47,20
潺,chan2,dzrjen,0208b,31749.110,129.33 138.14,13
僝,chan2,dzrjwenH,0208c,10222.110,129.35 411.44,13
嬋,chan2,dzyen,0147y,21080.150,138.39,6
蟬,chan2,dzyen,0147z,42891.070,138.33,6
儃,chan2,dzyen,0148c,10227.040,122.26 138.35,13
擔,chan2?,dzyem,0619k,31971.030,224.07 443.27,13
產,chan3,sreanX,0194a,42577.151,287.14,6
諂,chan3,trhjemX,0672l,63990.060,334.48,6
讇,chan3,trhjemX,0672p,64031.110,335.01,6
蕆,chan3,trhjenX,0202a,53289.050,295.11,6
剗,chan3,tsrheanX,0155i,10343.190,287.37,6
燀,chan3,tsyenX,0147t,32234.010,143.41 291.11 291.26,20
嘽,chan3,tsyhenX,0147m,10683.050,122.01 291.32,13
燀,chan3,tsyhenX,0147t,32234.010,143.41 291.11 291.26,20
幝,chan3,tsyhenX,0147u,10754.050,291.29,6
繟,chan3,tsyhenX,0147v,53452.030,122.25 291.27,13
闡,chan3,tsyhenX,0147x,74318.100,291.25,6
儳,chan4,dzraem,0612c,10237.100,230.41 445.26 445.39,20
儳,chan4,dzreamH,0612c,10237.100,230.41 445.26 445.39,20
儳,chan4,dzreamX,0612c,10237.100,230.41 445.26 445.39,20
覘,chan4,trhjemH,0618g,63666.060,227.19 444.09,13
儳,chan4,tsrhaemH,0612c,10237.100,230.41 445.26 445.39,20
幨,chan4,tsyhemH,0619d,10756.070,226.37 444.12,13
猖,chang1,dzyang,0724e,21353.040,173.31,6
倀,chang1,trhaeng,0721k,10170.040,178.02 430.04,13
倀,chang1,trhjang,0721k,10170.040,178.02 430.04,13
昌,chang1,tsyhang,0724a,21490.030,173.28,6
猖,chang1,tsyhang,0724e,21353.040,173.31,6
菖,chang1,tsyhang,0724f,53233.120,173.35,6
閶,chang1,tsyhang,0724g,74304.050,173.32,6
場,chang2,drjang,0720x,10462.090,174.17,6
腸,chang2,drjang,0720y,32095.090,174.16,6
長,chang2,drjang,0721a,64050.010,174.14 313.16 425.37,20
萇,chang2,drjang,0721f,53227.100,174.15,6
裳,chang2,dzyang,0725d,53095.110,176.19,6
常,chang2,dzyang,0725e,10744.010,176.17,6
嘗,chang2,dzyang,0725f,21529.090,176.21,6
甞,chang2,dzyang,0725i,42414.110,176.20,6
鱨,chang2,dzyang,0725v,74718.180,,0
償,chang2,dzyang,0725y,10234.020,176.24 426.03,13
償,chang2,dzyangH,0725y,10234.020,176.24 426.03,13
倘,chang2,tsyhangX,0725k,10177.010,,0
惝,chang3,tsyhangX,0725l,42315.020,,0
敞,chang3,tsyhangX,0725m,21467.030,311.47,6
𢠵,chang3,tsyhangX,0725x,42354.050,311.48,6
鬯,chang4,trhjangH,0719a,10263.010,425.20,6
畼,chang4,trhjangH,0720u,42549.130,425.25,6
暢,chang4,trhjangH,0720v,21529.100,425.19,6
悵,chang4,trhjangH,0721l,42313.030,425.18,6
韔,chang4,trhjangH,0721m,74506.200,425.21,6
倡,chang4,tsyhangH,0724c,10177.050,173.30 426.15,13
唱,chang4,tsyhangH,0724d,10640.080,426.12,6
怊,chao1,trhjew,1131i,42288.080,147.06 151.12,13
超,chao1,trhjew,1131j,53484.070,147.05,6
𠞰,chao1,tsrhaew,1169b,10352.170,299.12,6
怊,chao1,tsyhew,1131i,42288.080,147.06 151.12,13
弨,chao1,tsyhew,1131s,20994.060,151.13 298.09,13
弨,chao1,tsyhewX,1131s,20994.060,151.13 298.09,13
朝,chao2,drjew,1143a,32084.080,147.11 147.16,13
潮,chao2,drjew,1143d,31737.050,147.17,6
鼂,chao2,drjew,1147a,74769.020,147.15,6
巢,chao2,dzraew,1169a,21098.090,152.31 416.62,13
勦,chao2,dzraew,1169c,10379.130,152.33 299.14,13
炒,chao3,tsrhaewX,,32191.150,301.04,6
車,che1,tsyhae,0074a,53511.010,067.07 164.50,13
撤,che4,drjet,0286b,31962.030,499.51 500.48,13
徹,che4,drjet,0286c,20844.070,499.50 500.50,13
澈,che4,drjet,0286d,31747.040,499.52,6
坼,che4,trhaek,0792d,10433.020,,0
撤,che4,trhjet,0286b,31962.030,499.51 500.48,13
徹,che4,trhjet,0286c,20844.070,499.50 500.50,13
硩,che4,trhjet,0287h,42431.150,500.49 522.44,13
掣,che4,tsyhejH,0335c,31889.040,377.12 500.60,13
掣,che4,tsyhet,0335c,31889.040,377.12 500.60,13
琛,chen1,trhim,0666e,21124.040,217.22,6
瞋,chen1,tsyhin,0375g,42505.120,104.13,6
沈,chen2,drim,0656b,31572.070,217.38 329.03 440.41,20
湛,chen2,drim,0658l,31667.060,217.44 222.50 336.35,20
沈,chen2,drimH,0656b,31572.070,217.38 329.03 440.41,20
陳,chen2,drin,0373a,64136.010,104.03 393.11,13
敶,chen2,drin,0373d,21472.100,104.04 393.10,13
螴,chen2,drin,0373g,42888.070,,0
塵,chen2,drin,0374a,10482.030,104.07,6
忱,chen2,dzyim,0656h,42278.080,218.11,6
煁,chen2,dzyim,0658b,32214.030,218.12,6
諶,chen2,dzyim,0658c,63994.020,218.08,6
臣,chen2,dzyin,0377a,42801.010,102.18,6
晨,chen2,dzyin,0455h,21512.030,102.09 102.25,13
䢅,chen2,dzyin,0455i,63608.030,102.10,6
宸,chen2,dzyin,0455k,20930.140,102.12,6
辰,chen2,zyin,0455a,63606.010,102.08,6
晨,chen2,zyin,0455h,21512.030,102.09 102.25,13
䢅,chen2,zyin,0455i,63608.030,102.10,6
趻,chen3,trhimX,0651u,63691.130,,0
踸,chen3,trhimX,0658g,63721.050,328.34,6
瀋,chen3,tsyhimX,0665b,31781.010,329.21,6
沈,chen3?,tsyhimX,0656b,31572.070,217.38 329.03 440.41,20
闖,chen4,trhimH,0659a,74311.060,441.18,6
疢,chen4,trhinH,0452a,42663.100,394.22,6
櫬,chen4,tsrhinH,0382s,21317.120,394.11,6
齔,chen4,tsyhinH,0454a,74789.050,280.07 394.17,13
瞠,cheng1,trhaeng,0725f',42510.070,185.17,6
䞓,cheng1,trhjeng,0831x,53508.050,191.22,6
竀,cheng1,trhjeng,0833y,42742.010,185.21 191.24,13
赬,cheng1,trhjeng,0834m,53509.060,191.21,6
檉,cheng1,trhjeng,0835c',21299.030,191.19,6
爯,cheng1,tsyhing,0894a,32032.050,200.25,6
偁,cheng1,tsyhing,0894d,10193.060,200.26,6
稱,cheng1,tsyhing,0894g,42619.020,200.24 433.28,13
棖,cheng2,draeng,0721n,21223.050,186.18,6
𣥺,cheng2,draeng,0725u,21443.090,,0
橙,cheng2,dreang,,21297.050,189.43 433.37,13
澄,cheng2,dring,0883m,31750.060,186.20 198.30,13
徵,cheng2,dring,0891a,20842.070,200.11 251.09,13
懲,cheng2,dring,0891b,42366.060,198.33,6
呈,cheng2,drjeng,0835r,10585.010,192.05 431.01,13
珵,cheng2,drjeng,0835s,21116.010,192.09,6
程,cheng2,drjeng,0835t,42607.020,192.06,6
裎,cheng2,drjeng,0835u,53094.040,192.11 318.11,13
酲,cheng2,drjeng,0835v,63583.070,192.07,6
成,cheng2,dzyeng,0818a,21399.010,191.27,6
城,cheng2,dzyeng,0818e,10438.070,191.29,6
誠,cheng2,dzyeng,0818h,63963.050,191.30,6
盛,cheng2,dzyeng,0818i,42562.040,192.02 431.30,13
承,cheng2,dzying,0896c,10054.030,198.26,6
㞼,cheng2,dzying,0896d,10769.020,,0
丞,cheng2,dzying,0896g,10019.080,198.27 433.31,13
酲,cheng2,trhjeng,0835v,63583.070,192.07,6
塍,cheng2,zying,0893n,32098.170,199.36,6
乘,cheng2,zying,0895a,10040.010,,0
騁,cheng3,trhjengX,0817a,74557.060,318.10,6
逞,cheng3,trhjengX,0835x,63840.080,318.09,6
稱,cheng4,tsyhingH,0894g,42619.020,200.24 433.28,13
吃,chi1,kj+t,0517g,10579.050,477.11,6
笞,chi1,trhi,0976b',52961.030,062.48,6
絺,chi1,trhij,1237k,53405.130,053.11,6
离,chi1,trhje,0023a,10287.110,046.10 048.33,13
魑,chi1,trhje,0023b,74436.030,048.30,6
螭,chi1,trhje,0023c,42880.210,048.28,6
蚩,chi1,tsyhi,0962d,42841.050,062.53,6
鴟,chi1,tsyhij,0590s,74625.010,053.04,6
持,chi2,dri,0961p,31866.020,062.51,6
治,chi2,dri,0976z,31599.060,062.50 353.25 356.30,20
治,chi2,driH,0976z,31599.060,062.50 353.25 356.30,20
坻,chi2,drij,0590l,10433.100,053.50 240.28 269.07,20
蚳,chi2,drij,0590m,42844.100,054.02,6
墀,chi2,drij,0596c,10489.120,053.48,6
誃,chi2,drje,0003l,63969.050,049.32 245.31,13
趍,chi2,drje,0003m,53486.090,049.23 077.28,13
池,chi2,drje,0004t,31555.030,049.24 159.45,13
竾,chi2,drje,0004v,52949.050,,0
馳,chi2,drje,0004x,74542.070,049.22,6
踟,chi2,drje,0863e,63717.020,049.28,6
篪,chi2,drje,0870c,53002.040,049.26,6
匙,chi2,dzye,,10263.020,045.24,6
弛,chi2,sye,0004a',20991.130,245.42,6
弛,chi2,syeX,0004a',20991.130,245.42,6
㢮,chi2,syeX,0004j',20992.220,,0
褫,chi3,drje,0870b,53107.170,049.29 244.07 246.51 254.20,27
褫,chi3,drjeX,0870b,53107.170,049.29 244.07 246.51 254.20,27
恥,chi3,trhiX,0959a,42290.010,254.18,6
拸,chi3,trhjeX,0003j,31874.050,041.39,6
褫,chi3,trhjeX,0870b,53107.170,049.29 244.07 246.51 254.20,27
哆,chi3,tsyhaeX,0003k,10620.080,169.26 245.41 304.11 309.48 358.25 419.23 422.18,48
尺,chi3,tsyhek,0794a,20964.020,518.02,6
侈,chi3,tsyheX,0003i,10151.080,245.27,6
誃,chi3,tsyheX,0003l,63969.050,049.32 245.31,13
㢋,chi3,tsyheX,0003t,20888.100,245.32,6
齒,chi3,tsyhiX,0961l,74788.010,254.16,6
體,chi3?,trhejX,0597i,74419.030,268.27,6
眙,chi4,dringH,0976a',42483.100,059.16 357.19,13
翨,chi4,kjieH,0866f,53351.140,349.03 349.23,13
遫,chi4,suwk,1222r,63875.050,525.11,6
翅,chi4,syeH,0864e,53342.160,348.39,6
翨,chi4,syeH,0866f,53351.140,349.03 349.23,13
眙,chi4,trhiH,0976a',42483.100,059.16 357.19,13
佁,chi4,trhiH,0976t,10141.040,251.24 274.45 357.20,20
懫,chi4,trhijH,0493d,42367.140,352.53 468.10,13
敕,chi4,trhik,0917a,21460.030,524.51,6
勅,chi4,trhik,0917b,10371.020,525.01,6
侙,chi4,trhik,0918m,10143.130,525.06,6
飭,chi4,trhik,0921g,74444.030,525.02,6
趩,chi4,trhik,0954g,53500.120,525.04,6
抶,chi4,trhit,0402e,31853.050,469.45,6
傺,chi4,trhjejH,0337g,10214.010,379.22,6
赤,chi4,tshjek,0793a,53506.010,518.03,6
懘,chi4,tsyhejH,0315f,42364.010,245.35 377.14,13
㡿,chi4,tsyhek,0792a,20884.010,518.06,6
斥,chi4,tsyhek,0792b,32022.030,518.07,6
赤,chi4,tsyhek,0793a,53506.010,518.03,6
熾,chi4,tsyhiH,0920l,32236.080,358.19,6
糦,chi4,tsyhiH,0955l,53160.010,358.22,6
饎,chi4,tsyhiH,0955m,74473.010,358.20,6
𩟄,chi4,tsyhiH,0960k,74475.100,,0
叱,chi4,tsyhit,0400e,10572.060,,0
厈,chi4?,tsyhek,0792c,10068.060,422.59,6
𢥞,chong1,downg,1009f,42371.090,032.43,6
憧,chong1,draewngH,1188b',42356.060,034.41 345.40,13
盅,chong1,drjuwng,1007o,42558.050,024.29 025.17,13
沖,chong1,drjuwng,1007p,31565.030,024.27,6
舂,chong1,syowng,1192a,53039.040,034.28,6
摏,chong1,syowng,1192c,31941.080,034.30,6
憃,chong1,syowng,1192d,42340.060,034.33 040.24 345.12,20
憃,chong1,trhaewng,1192d,42340.060,034.33 040.24 345.12,20
傭,chong1,trhjowng,1185y,10214.060,035.13 036.40,13
憃,chong1,trhjowngH,1192d,42340.060,034.33 040.24 345.12,20
忡,chong1,trhjuwng,1007n,42276.100,025.15,6
盅,chong1,trhjuwng,1007o,42558.050,024.29 025.17,13
𠟍,chong1,tsyhowng,1188a',10356.050,034.46,6
憧,chong1,tsyhowng,1188b',42356.060,034.41 345.40,13
罿,chong1,tsyhowng,1188c',42926.140,023.28 034.40,13
衝,chong1,tsyhowng,1188j,20843.020,034.39,6
充,chong1,tsyhuwng,1011a,10269.020,027.12,6
重,chong2,drjowng,1188a,63680.020,036.30 238.17 345.19,20
蟲,chong2,drjuwng,1009a,42891.060,024.26 343.27,13
虫,chong2,drjuwng,1009a,42833.010,255.40,6
崇,chong2,dzrjuwng,1003h,10782.140,025.18,6
寵,chong3,trhjowngX,1193p,20957.190,237.42,6
瘳,chou1,lew,1069k,42695.040,206.07,6
瘳,chou1,trhjuw,1069k,42695.040,206.07,6
妯,chou1,trhjuw,1079e,21037.030,206.08 454.37,13
抽,chou1,trhjuw,1079f,31852.020,206.01,6
犨,chou1,tsyhuw,1091c,31821.150,206.13,6
犫,chou1,tsyhuw,1091d,31823.060,206.12,6
稠,chou2,drjuw,1083l,42614.100,209.45,6
綢,chou2,drjuw,1083m,53417.100,156.36 209.44,13
裯,chou2,drjuw,1083n,53099.100,080.17 156.48 209.40,20
𢏚,chou2,drjuw,1090b,20996.010,,0
𠷎,chou2,drjuw,1090d,10662.110,209.41,6
𠼡,chou2,drjuw,1090f,10679.090,,0
儔,chou2,drjuw,1090k,10229.070,209.35 417.16,13
疇,chou2,drjuw,1090l,42553.130,209.42,6
籌,chou2,drjuw,1090m,53024.100,209.49,6
躊,chou2,drjuw,1090n,63745.060,209.37,6
幬,chou2,drjuw,1090u,10757.010,209.38 417.14,13
愁,chou2,dzrjuw,1092i,42322.080,209.14,6
酬,chou2,dzyuw,1086e,63582.050,206.28,6
醻,chou2,dzyuw,1090o,63601.110,206.29,6
魗,chou2,dzyuw,1090p,74438.020,206.32 322.32,13
讎,chou2,dzyuw,1091a,64112.070,206.24,6
惆,chou2,trhjuw,1083k,42317.100,206.06 206.10,13
丑,chou3,trhjuwX,1076a,10012.070,322.06,6
醜,chou3,tsyhuwX,1089a,63590.060,322.30,6
簉,chou4,tsrhjuwH,1051e,53001.040,435.53,6
臭,chou4,tsyhuwH,1088a,53047.040,435.21,6
貙,chu1,trhju,0122r,63916.180,075.57,6
初,chu1,tsrhjo,0087a,10327.220,066.25,6
袾,chu1,tsyhu,0128r,53089.030,075.52 080.11,13
出,chu1,tsyhwit,0496a,10307.080,356.05 474.46,13
儲,chu2,drjo,0045l',10235.090,070.26,6
躇,chu2,drjo,0045o',63732.140,070.25,6
篨,chu2,drjo,0082c',52995.180,070.28,6
除,chu2,drjo,0082m,64132.050,070.24 362.56,13
廚,chu2,drju,0127m,20900.100,080.13,6
躕,chu2,drju,0127n,63748.040,080.14,6
櫥,chu2,drju,,21315.050,,0
耡,chu2,dzrjo,0046o',42772.140,069.07 363.05,13
鋤,chu2,dzrjo,0046p',64207.120,069.06,6
耡,chu2,dzrjoH,0046o',42772.140,069.07 363.05,13
雛,chu2,dzrju,0132d,64105.060,078.27,6
鶵,chu2,dzrju,0132e,74652.080,078.28,6
芻,chu2,tsrhju,0132a,10260.010,072.28,6
宁,chu2?,drjo,0084a,20910.010,071.02 256.37,13
楮,chu3,trhjoX,0045i,21223.090,257.38 265.36,13
𪓐,chu3,tsrhjoX,0046r',74739.030,258.34,6
楚,chu3,tsrhjoX,0088a,21244.090,258.30 363.37,13
處,chu3,tsyhoX,0085a,42822.120,257.19 363.39,13
杵,chu3,tsyhoX,0086a,21170.080,257.18,6
楮,chu3,tuX,0045i,21223.090,257.38 265.36,13
絮,chu4,trhjoH,0094u,53400.070,363.03 363.36 363.41 424.13,27
豖,chu4,trhjowk,1218a,63610.050,463.49,6
畜,chu4,trhjuwH,1018a,42538.040,436.03 456.45,13
畜,chu4,trhjuwk,1018a,42538.040,436.03 456.45,13
稸,chu4,trhjuwk,1018d,42626.040,456.44 459.25,13
滀,chu4,trhjuwk,1018f,31706.060,459.26,6
黜,chu4,trhwit,0496f,74747.100,474.27,6
怵,chu4,trhwit,0497h,42284.010,474.28,6
絀,chu4,trwit,0496g,53387.060,474.37,6
處,chu4,tsyhoH,0085a,42822.120,257.19 363.39,13
臅,chu4,tsyhowk,1224f,32116.120,462.13,6
觸,chu4,tsyhowk,1224g,63933.110,462.10,6
俶,chu4,tsyhuwk,1031h,10175.010,455.41,6
揣,chuai3,tsrhjweX,0168q,31917.060,246.14 305.32,13
嘬,chuai4,tsrhwaejH,0325d,10682.190,387.01,6
嘬,chuai4,tsrhweajH,0325d,10682.190,387.01,6
穿,chuan1,tsyhwen,0232a,42722.060,140.47 410.02,13
川,chuan1,tsyhwen,0462a,10032.020,140.48,6
椽,chuan2,drjwen,0171e,21259.020,143.21,6
傳,chuan2,drjwen,0231f,10208.090,143.22 411.47 411.61,20
諯,chuan2,dzywen,0168k,63998.070,141.62 142.10 410.03 411.03,27
輲,chuan2,dzywen,0168l,53545.030,142.11,6
遄,chuan2,dzywen,0168m,63859.020,142.07,6
諯,chuan2,tsyhwenH,0168k,63998.070,141.62 142.10 410.03 411.03,27
船,chuan2,zywen,0229e,53060.010,141.28,6
膞,chuan3,dzywen,0231k,32106.120,142.02 294.15 294.34,20
腞,chuan3,trhjwenX,0171h,32100.060,,0
喘,chuan3,tsyhwenX,0168j,10655.050,294.12,6
舛,chuan3,tsyhwenX,0233a,20861.060,294.11,6
揣,chuan3?,tsyhwenX,0168q,31917.060,246.14 305.32,13
囱,chuang1,tsrhaewng,1199a,10715.060,,0
匆,chuang1,tsrhaewng,1199b,10257.020,,0
窻,chuang1,tsrhaewng,1199l,42740.180,,0
䆫,chuang1,tsrhaewng,1199m,42735.140,039.21,6
創,chuang1,tsrhjang,0703l,10350.150,175.32 426.17,13
瘡,chuang1,tsrhjang,0703n,42690.060,175.33,6
幢,chuang2,draewng,1188e',10755.030,040.18 345.42,13
撞,chuang2,draewng,1188f',31961.090,040.19 345.43,13
牀,chuang2,dzrjang,0727r,42374.040,176.09,6
疒,chuang2,nreak,1260b,42659.010,176.11 516.11,13
創,chuang4,tsrhjangH,0703l,10350.150,175.32 426.17,13
愴,chuang4,tsrhjangH,0703m,42338.050,311.24 426.18,13
吹,chui1,tsyhwe,0030a,10593.030,043.08 348.25,13
炊,chui1,tsyhwe,0030b,32192.140,043.09,6
錘,chui2,drjwe,0031g,64220.070,042.44 348.21,13
錘,chui2,drjweH,0031g,64220.070,042.44 348.21,13
椎,chui2,drwij,0575r,21233.100,058.16,6
顀,chui2,drwij,0575s,74378.130,058.19,6
垂,chui2,dzywe,0031a,10432.050,042.47,6
陲,chui2,dzywe,0031b,64137.130,042.48,6
菙,chui2,dzyweX,0031e,53234.150,247.02,6
捶,chui2,tsyweX,0031i,31897.130,246.09,6
吹,chui4,tsyhweH,0030a,10593.030,043.08 348.25,13
出,chui4,tsyhwijH,0496a,10307.080,356.05 474.46,13
橁,chun1,trhwin,0392u,21293.030,,0
杶,chun1,trhwin,0427l,21167.080,106.45,6
䡅,chun1,trhwin,0462b,53516.040,106.43,6
椿,chun1,trhwin,0463e,21242.080,106.40,6
輴,chun1,trhwin,0465d,53545.080,106.42,6
春,chun1,tsyhwin,0463a,21496.100,108.12,6
純,chun2,dwonX,0427n,53371.040,107.07 277.27,13
膞,chun2,dzywin,0231k,32106.120,142.02 294.15 294.34,20
肫,chun2,dzywin,0427m,32047.100,106.38,6
純,chun2,dzywin,0427n,53371.040,107.07 277.27,13
𦎧,chun2,dzywin,0464a,10293.040,107.12,6
淳,chun2,dzywin,0464e,31658.010,107.16,6
醇,chun2,dzywin,0464f,63587.110,107.10,6
錞,chun2,dzywin,0464g,64223.070,107.15 272.22 387.31,20
鐓,chun2,dzywin,0464h,64258.020,387.30,6
鶉,chun2,dzywin,0464j,74642.100,107.11,6
純,chun2,tsywinH,0427n,53371.040,107.07 277.27,13
脣,chun2,zywin,0455u,32076.090,107.24,6
漘,chun2,zywin,0455v,31720.040,107.25,6
惷,chun3,tsyhwinX,0463c,42320.040,278.09,6
蠢,chun3,tsyhwinX,0463d,42901.100,278.05,6
踔,chuo1,trhaewk,1126f,63715.040,416.22 467.20,13
啜,chuo4,dzywejH,0295c,10648.050,376.18 379.19 499.14 499.22 500.56,34
逴,chuo4,trhaewk,1126c,63848.120,467.17 502.47,13
趠,chuo4,trhaewk,1126d,53492.050,416.21 467.18,13
辵,chuo4,trhjaek,1258b,63815.010,502.48,6
躇,chuo4,trhjak,0045o',63732.140,070.25,6
婼,chuo4,trhjak,0777k,21056.040,045.36 169.48 502.46,20
綴,chuo4,trjwet,0295b,53422.010,376.13 499.24,13
啜,chuo4,trjwet,0295c,10648.050,376.18 379.19 499.14 499.22 500.56,34
惙,chuo4,trjwet,0295d,42320.020,499.17,6
輟,chuo4,trjwet,0295e,53542.100,376.23 499.15,13
錣,chuo4,trwaet,0295j,64227.090,376.21 490.52,13
擉,chuo4,tsrhaewk,1224r,31970.030,467.48,6
綽,chuo4,tsyhak,1126g,53412.110,502.25,6
啜,chuo4,tsyhwet,0295c,10648.050,376.18 379.19 499.14 499.22 500.56,34
歠,chuo4,tsyhwet,0295i,32153.110,499.13,6
疵,ci1,dzje,0358p,42671.040,046.29,6
骴,ci1,dzje,0358q,74410.140,046.30,6
髊,ci1,dzjeH,0005o,74415.130,348.09,6
骴,ci1,dzjeH,0358q,74410.140,046.30,6
差,ci1,tsrhea,0005f,10413.040,048.23 093.45 095.19 167.42 383.56,34
差,ci1,tsrhje,0005f,10413.040,048.23 093.45 095.19 167.42 383.56,34
慈,ci2,dzi,0966j,42324.030,063.07,6
茨,ci2,dzij,0555i,53208.060,053.27,6
餈,ci2,dzij,0555j,74452.020,053.30,6
䆅,ci2,dzij,0555m,42636.060,053.33,6
薋,ci2,dzij,0555n,53306.010,053.28,6
雌,ci2,tshje,0358f,64098.180,048.53,6
䳄,ci2,tshje,0358g,74629.080,,0
辭,ci2,zi,0968a,64043.130,061.47,6
祠,ci2,zi,0972h,42395.010,061.45,6
詞,ci2,zi,0972j,63957.090,061.44,6
辭,ci2,ziH,0968a,64043.130,061.47,6
訿,ci2?,zje,0358l,63963.100,246.01,6
泚,ci3,tshejX,0358h,31606.010,244.01 269.38,13
玼,ci3,tshejX,0358i,21110.100,046.31 243.46 269.39,20
此,ci3,tshjeX,0358a,21438.030,243.43,6
佌,ci3,tshjeX,0358c,10147.060,243.45,6
跐,ci3,tshjeX,0358e,63701.080,243.44 246.05 246.22,20
泚,ci3,tshjeX,0358h,31606.010,244.01 269.38,13
玼,ci3,tshjeX,0358i,21110.100,046.31 243.46 269.39,20
賜,ci4,sjeH,0850t,63648.020,346.35,6
次,ci4,tshijH,0555a,32133.020,354.10,6
佽,ci4,tshijH,0555c,10152.070,354.12,6
絘,ci4,tshijH,0555d,53398.020,354.14,6
庛,ci4,tshjeH,0358d,20882.040,347.33,6
朿,ci4,tshjeH,0868a,21153.030,347.29,6
刺,ci4,tshjeH,0868d,10333.020,347.26 518.42,13
茦,ci4,tshjeH,0868e,53200.090,,0
𧧒,ci4,tshjeH,0868f,63962.080,347.31,6
刺,ci4,tshjek,0868d,10333.020,347.26 518.42,13
從,cong1,tshjowng,1191d,20829.120,036.36 038.18 345.28,20
樅,cong1,tshjowng,1191i,21281.050,037.21 038.16,13
悤,cong1,tshuwng,1199c,42301.030,,0
怱,cong1,tshuwng,1199d,42281.060,031.14,6
聰,cong1,tshuwng,1199f,42795.010,,0
蔥,cong1,tshuwng,1199g,53281.020,,0
葱,cong1,tshuwng,1199h,53253.110,031.16,6
蔥,cong1,tsrhaewng,1199g,53281.020,,0
从,cong2,dzjowng,1191a,10105.030,036.37,6
從,cong2,dzjowng,1191d,20829.120,036.36 038.18 345.28,20
琮,cong2,dzowng,1003g,21123.110,033.11,6
叢,cong2,dzuwng,1178a,10402.150,031.01,6
取,cou3,tshuwX,0131a,10395.010,264.06 327.48,13
趣,cou3,tshuwX,0131g,53490.090,327.47 366.22,13
